numOfLayer;numOnLayer;t;x;u;c;u+c;u-c;
1;546;0;6.53048;0;1;1;-1;
1;547;0;6.54047;0;1;1;-1;
1;548;0;6.55047;0;1;1;-1;
1;549;0;6.56046;0;1;1;-1;
1;550;0;6.57045;0;1;1;-1;
1;551;0;6.58045;0;1;1;-1;
1;552;0;6.59044;0;1;1;-1;
1;553;0;6.60044;0;1;1;-1;
1;554;0;6.61043;0;1;1;-1;
1;555;0;6.62043;0;1;1;-1;
1;556;0;6.63042;0;1;1;-1;
1;557;0;6.64042;0;1;1;-1;
1;558;0;6.65041;0;1;1;-1;
1;559;0;6.6604;0;1;1;-1;
1;560;0;6.6704;0;1;1;-1;
1;561;0;6.68039;0;1;1;-1;
1;562;0;6.69039;0;1;1;-1;
1;563;0;6.70038;0;1;1;-1;
1;564;0;6.71038;0;1;1;-1;
1;565;0;6.72037;0;1;1;-1;
1;566;0;6.73037;0;1;1;-1;
1;567;0;6.74036;0;1;1;-1;
1;568;0;6.75036;0;1;1;-1;
1;569;0;6.76035;0;1;1;-1;
1;570;0;6.77034;0;1;1;-1;
1;571;0;6.78034;0;1;1;-1;
1;572;0;6.79033;0;1;1;-1;
1;573;0;6.80033;0;1;1;-1;
1;574;0;6.81032;0;1;1;-1;
1;575;0;6.82032;0;1;1;-1;
1;576;0;6.83031;0;1;1;-1;
1;577;0;6.84031;0;1;1;-1;
1;578;0;6.8503;0;1;1;-1;
1;579;0;6.86029;0;1;1;-1;
1;580;0;6.87029;0;1;1;-1;
1;581;0;6.88028;0;1;1;-1;
1;582;0;6.89028;0;1;1;-1;
1;583;0;6.90027;0;1;1;-1;
1;584;0;6.91027;0;1;1;-1;
1;585;0;6.92026;0;1;1;-1;
1;586;0;6.93026;0;1;1;-1;
1;587;0;6.94025;0;1;1;-1;
1;588;0;6.95024;0;1;1;-1;
1;589;0;6.96024;0;1;1;-1;
1;590;0;6.97023;0;1;1;-1;
1;591;0;6.98023;0;1;1;-1;
1;592;0;6.99022;0;1;1;-1;
1;593;0;7.00022;0;1;1;-1;
1;594;0;7.01021;0;1;1;-1;
1;595;0;7.02021;0;1;1;-1;
1;596;0;7.0302;0;1;1;-1;
1;597;0;7.04019;0;1;1;-1;
1;598;0;7.05019;0;1;1;-1;
1;599;0;7.06018;0;1;1;-1;
1;600;0;7.07018;0;1;1;-1;
1;601;0;7.08017;0;1;1;-1;
1;602;0;7.09017;0;1;1;-1;
1;603;0;7.10016;0;1;1;-1;
1;604;0;7.11016;0;1;1;-1;
1;605;0;7.12015;0;1;1;-1;
1;606;0;7.13015;0;1;1;-1;
1;607;0;7.14014;0;1;1;-1;
1;608;0;7.15013;0;1;1;-1;
1;609;0;7.16013;0;1;1;-1;
1;610;0;7.17012;0;1;1;-1;
1;611;0;7.18012;0;1;1;-1;
1;612;0;7.19011;0;1;1;-1;
1;613;0;7.20011;0;1;1;-1;
1;614;0;7.2101;0;1;1;-1;
1;615;0;7.2201;0;1;1;-1;
1;616;0;7.23009;0;1;1;-1;
1;617;0;7.24008;0;1;1;-1;
1;618;0;7.25008;0;1;1;-1;
1;619;0;7.26007;0;1;1;-1;
1;620;0;7.27007;0;1;1;-1;
1;621;0;7.28006;0;1;1;-1;
1;622;0;7.29006;0;1;1;-1;
1;623;0;7.30005;0;1;1;-1;
1;624;0;7.31005;0;1;1;-1;
1;625;0;7.32004;0;1;1;-1;
1;626;0;7.33003;0;1;1;-1;
1;627;0;7.34003;0;1;1;-1;
1;628;0;7.35002;0;1;1;-1;
1;629;0;7.36002;0;1;1;-1;
1;630;0;7.37001;0;1;1;-1;
1;631;0;7.38001;0;1;1;-1;
1;632;0;7.39;0;1;1;-1;
1;633;0;7.4;0;1;1;-1;
1;634;0;7.40999;0;1;1;-1;
1;635;0;7.41999;0;1;1;-1;
1;636;0;7.42998;0;1;1;-1;
1;637;0;7.43997;0;1;1;-1;
1;638;0;7.44997;0;1;1;-1;
1;639;0;7.45996;0;1;1;-1;
1;640;0;7.46996;0;1;1;-1;
1;641;0;7.47995;0;1;1;-1;
1;642;0;7.48995;0;1;1;-1;
1;643;0;7.49994;0;1;1;-1;
1;644;0;7.50994;0;1;1;-1;
1;645;0;7.51993;0;1;1;-1;
1;646;0;7.52992;0;1;1;-1;
1;647;0;7.53992;0;1;1;-1;
1;648;0;7.54991;0;1;1;-1;
1;649;0;7.55991;0;1;1;-1;
1;650;0;7.5699;0;1;1;-1;
1;651;0;7.5799;0;1;1;-1;
1;652;0;7.58989;0;1;1;-1;
1;653;0;7.59989;0;1;1;-1;
1;654;0;7.60988;0;1;1;-1;
1;655;0;7.61987;0;1;1;-1;
1;656;0;7.62987;0;1;1;-1;
1;657;0;7.63986;0;1;1;-1;
1;658;0;7.64986;0;1;1;-1;
1;659;0;7.65985;0;1;1;-1;
1;660;0;7.66985;0;1;1;-1;
