num;t;r;R;L
300;0.089417574;1.067055685;10.00916502;-4.956826386
301;0.089407226;1.067029543;10.00921553;-4.956833043
302;0.089396878;1.067003401;10.00926603;-4.956839702
303;0.089386529;1.066977258;10.00931654;-4.956846364
304;0.08937618;1.066951115;10.00936706;-4.956853029
305;0.089365831;1.066924971;10.00941757;-4.956859697
306;0.089355482;1.066898825;10.00946808;-4.956866368
307;0.089345132;1.06687268;10.0095186;-4.956873041
308;0.089344006;1.066869835;10.0095241;-4.956873768
309;0.089334784;1.066846535;10.00956912;-4.956879701
310;0.089324435;1.06682039;10.00961965;-4.956886362
311;0.089314086;1.066794245;10.00967017;-4.956893025
312;0.089303736;1.066768099;10.0097207;-4.956899691
313;0.089293387;1.066741952;10.00977123;-4.95690636
314;0.089283037;1.066715804;10.00982176;-4.956913032
315;0.089272687;1.066689655;10.00987229;-4.956919707
316;0.089262337;1.066663506;10.00992282;-4.956926384
317;0.089258177;1.066652996;10.00994313;-4.956929069
318;0.089251988;1.066637358;10.00997336;-4.956933053
319;0.089241638;1.066611209;10.0100239;-4.956939718
320;0.089231288;1.06658506;10.01007444;-4.956946386
321;0.089220938;1.066558911;10.01012498;-4.956953056
322;0.089210588;1.06653276;10.01017553;-4.956959729
323;0.089200238;1.066506609;10.01022608;-4.956966405
324;0.089189888;1.066480457;10.01027663;-4.956973084
325;0.089179537;1.066454304;10.01032718;-4.956979765
326;0.089172354;1.066436157;10.01036225;-4.956984403
327;0.089169186;1.066428152;10.01037773;-4.956986444
328;0.089158836;1.066402;10.01042829;-4.956993112
329;0.089148486;1.066375848;10.01047885;-4.956999784
330;0.089138135;1.066349694;10.01052941;-4.957006458
331;0.089127784;1.066323541;10.01057997;-4.957013135
332;0.089117433;1.066297386;10.01063053;-4.957019815
333;0.089107082;1.066271231;10.0106811;-4.957026498
334;0.089096731;1.066245075;10.01073167;-4.957033184
335;0.089086537;1.066219317;10.01078146;-4.95703977
336;0.089086379;1.066218918;10.01078224;-4.957039872
337;0.089076029;1.066192763;10.01083281;-4.957046545
338;0.089065678;1.066166607;10.01088339;-4.957053221
339;0.089055326;1.06614045;10.01093396;-4.957059899
340;0.089044975;1.066114293;10.01098454;-4.95706658
341;0.089034623;1.066088135;10.01103512;-4.957073264
342;0.089024272;1.066061976;10.01108571;-4.957079951
343;0.08901392;1.066035816;10.01113629;-4.957086641
344;0.089003567;1.066009656;10.01118688;-4.957093333
345;0.089000726;1.066002475;10.01120076;-4.957095171
346;0.088993216;1.065983497;10.01123747;-4.957100015
347;0.088982864;1.065957338;10.01128806;-4.957106695
348;0.088972512;1.065931178;10.01133866;-4.957113377
349;0.08896216;1.065905017;10.01138925;-4.957120063
350;0.088951808;1.065878855;10.01143985;-4.957126751
351;0.088941455;1.065852693;10.01149045;-4.957133442
352;0.088931103;1.06582653;10.01154105;-4.957140136
353;0.08892075;1.065800366;10.01159165;-4.957146832
354;0.08891492;1.065785633;10.01162015;-4.957150604
355;0.088910397;1.065774203;10.01164226;-4.957153524
356;0.088900045;1.06574804;10.01169287;-4.957160207
357;0.088889693;1.065721877;10.01174348;-4.957166894
358;0.08887934;1.065695713;10.0117941;-4.957173583
359;0.088868987;1.065669548;10.01184471;-4.957180276
360;0.088858634;1.065643382;10.01189533;-4.957186971
361;0.088848281;1.065617215;10.01194595;-4.957193669
362;0.088837927;1.065591048;10.01199657;-4.957200369
363;0.08882912;1.06556879;10.01203963;-4.957206071
364;0.088827574;1.065564881;10.01204719;-4.95720707
365;0.088817221;1.065538715;10.01209782;-4.957213758
366;0.088806868;1.065512548;10.01214844;-4.957220449
367;0.088796514;1.06548638;10.01219908;-4.957227142
368;0.088786161;1.065460212;10.01224971;-4.957233838
369;0.088775807;1.065434043;10.01230034;-4.957240538
370;0.088765453;1.065407873;10.01235098;-4.95724724
371;0.088755099;1.065381702;10.01240161;-4.957253945
372;0.088744745;1.065355531;10.01245225;-4.957260652
373;0.088743326;1.065351945;10.01245919;-4.957261571
374;0.088734391;1.065329361;10.0125029;-4.957267347
375;0.088724037;1.06530319;10.01255354;-4.957274041
376;0.088713683;1.065277019;10.01260419;-4.957280739
377;0.088703329;1.065250847;10.01265484;-4.957287439
378;0.088692975;1.065224675;10.01270549;-4.957294143
379;0.08868262;1.065198502;10.01275614;-4.957300849
380;0.088672265;1.065172328;10.0128068;-4.957307558
381;0.08866191;1.065146153;10.01285745;-4.95731427
382;0.088657538;1.0651351;10.01287884;-4.957317105
383;0.088651556;1.065119979;10.01290811;-4.957320973
384;0.088641201;1.065093805;10.01295877;-4.957327672
385;0.088630847;1.06506763;10.01300944;-4.957334374
386;0.088620492;1.065041455;10.01306011;-4.957341079
387;0.088610137;1.065015279;10.01311077;-4.957347786
388;0.088599782;1.064989102;10.01316144;-4.957354496
389;0.088589426;1.064962925;10.01321211;-4.957361209
390;0.088579071;1.064936747;10.01326279;-4.957367925
391;0.088571755;1.064918253;10.01329858;-4.957372671
392;0.088568715;1.064910568;10.01331346;-4.957374638
393;0.08855836;1.064884391;10.01336414;-4.957381341
394;0.088548005;1.064858213;10.01341482;-4.957388047
395;0.088537649;1.064832034;10.01346551;-4.957394756
396;0.088527294;1.064805855;10.01351619;-4.957401467
397;0.088516938;1.064779675;10.01356688;-4.957408182
398;0.088506582;1.064753494;10.01361757;-4.957414899
399;0.088496226;1.064727312;10.01366826;-4.957421619
400;0.088485978;1.064701406;10.01371841;-4.957428271
401;0.088485869;1.06470113;10.01371895;-4.957428342
402;0.088475513;1.064674949;10.01376965;-4.957435049
403;0.088465158;1.064648767;10.01382034;-4.957441759
404;0.088454801;1.064622585;10.01387104;-4.957448472
405;0.088444445;1.064596402;10.01392175;-4.957455187
406;0.088434089;1.064570219;10.01397245;-4.957461906
407;0.088423732;1.064544034;10.01402316;-4.957468627
408;0.088413375;1.064517849;10.01407386;-4.957475351
409;0.088403018;1.064491663;10.01412457;-4.957482078
410;0.088400207;1.064484557;10.01413833;-4.957483904
411;0.088392661;1.064465478;10.01417528;-4.957488794
412;0.088382305;1.064439294;10.014226;-4.957495509
413;0.088371948;1.064413108;10.01427672;-4.957502226
414;0.088361591;1.064386922;10.01432744;-4.957508945
415;0.088351234;1.064360735;10.01437816;-4.957515668
416;0.088340877;1.064334547;10.01442888;-4.957522393
417;0.088330519;1.064308358;10.0144796;-4.957529122
418;0.088320161;1.064282169;10.01453033;-4.957535853
419;0.088314442;1.064267708;10.01455834;-4.957539571
420;0.088309804;1.06425598;10.01458106;-4.957542578
421;0.088299447;1.064229791;10.01463179;-4.957549297
422;0.088289089;1.064203602;10.01468253;-4.957556018
423;0.088278732;1.064177412;10.01473326;-4.957562742
424;0.088268374;1.064151222;10.014784;-4.957569468
425;0.088258016;1.064125031;10.01483474;-4.957576198
426;0.088247658;1.064098839;10.01488548;-4.957582931
427;0.088237299;1.064072646;10.01493622;-4.957589666
428;0.088228683;1.064050857;10.01497844;-4.957595271
429;0.088226941;1.064046453;10.01498697;-4.957596401
430;0.088216583;1.064020261;10.01503772;-4.957603123
431;0.088206225;1.063994068;10.01508847;-4.957609848
432;0.088195867;1.063967875;10.01513922;-4.957616576
433;0.088185508;1.063941681;10.01518998;-4.957623307
434;0.08817515;1.063915486;10.01524074;-4.957630041
435;0.088164791;1.063889291;10.01529149;-4.957636778
436;0.088154432;1.063863095;10.01534225;-4.957643517
437;0.088144073;1.063836898;10.01539302;-4.95765026
438;0.088142929;1.063834006;10.01539862;-4.957651004
439;0.088133714;1.063810702;10.01544378;-4.957656988
440;0.088123355;1.063784506;10.01549455;-4.957663718
441;0.088112996;1.063758309;10.01554532;-4.95767045
442;0.088102637;1.063732112;10.01559609;-4.957677185
443;0.088092278;1.063705914;10.01564687;-4.957683923
444;0.088081919;1.063679715;10.01569764;-4.957690664
445;0.088071559;1.063653515;10.01574842;-4.957697407
446;0.088061199;1.063627315;10.0157992;-4.957704154
447;0.088057181;1.063617154;10.01581889;-4.957706771
448;0.088050839;1.063601115;10.01584998;-4.957710891
449;0.08804048;1.063574915;10.01590077;-4.957717625
450;0.088030121;1.063548715;10.01595156;-4.957724361
451;0.088019761;1.063522514;10.01600234;-4.957731101
452;0.088009401;1.063496313;10.01605314;-4.957737843
453;0.087999041;1.06347011;10.01610393;-4.957744588
454;0.08798868;1.063443907;10.01615472;-4.957751335
455;0.08797832;1.063417703;10.01620552;-4.957758086
456;0.087971439;1.0634003;10.01623925;-4.957762571
457;0.087967959;1.063391499;10.01625632;-4.957764833
458;0.0879576;1.063365296;10.01630712;-4.957771571
459;0.087947239;1.063339093;10.01635792;-4.957778311
460;0.087936879;1.063312888;10.01640873;-4.957785055
461;0.087926518;1.063286683;10.01645954;-4.957791801
462;0.087916158;1.063260477;10.01651035;-4.95779855
463;0.087905797;1.063234271;10.01656116;-4.957805302
464;0.087895435;1.063208064;10.01661197;-4.957812057
465;0.087885703;1.063183446;10.01665971;-4.957818405
466;0.087885074;1.063181856;10.01666279;-4.957818814
467;0.087874714;1.063155649;10.01671361;-4.957825556
468;0.087864353;1.063129442;10.01676443;-4.9578323
469;0.087853992;1.063103234;10.01681525;-4.957839048
470;0.087843631;1.063077026;10.01686608;-4.957845798
471;0.087833269;1.063050816;10.01691691;-4.957852552
472;0.087822907;1.063024606;10.01696773;-4.957859308
473;0.087812546;1.062998396;10.01701856;-4.957866067
474;0.087802184;1.062972184;10.0170694;-4.957872829
475;0.087799972;1.06296659;10.01708024;-4.957874272
476;0.087791822;1.062945974;10.01712023;-4.957879579
477;0.087781461;1.062919763;10.01717107;-4.957886328
478;0.087771099;1.062893552;10.01722191;-4.957893079
479;0.087760737;1.06286734;10.01727276;-4.957899834
480;0.087750375;1.062841127;10.0173236;-4.957906592
481;0.087740013;1.062814913;10.01737444;-4.957913352
482;0.08772965;1.062788699;10.01742529;-4.957920115
483;0.087719288;1.062762484;10.01747614;-4.957926881
484;0.087714248;1.062749734;10.01750087;-4.957930173
485;0.087708925;1.062736269;10.01752699;-4.95793364
486;0.087698563;1.062710055;10.01757785;-4.957940394
487;0.087688201;1.062683841;10.01762871;-4.95794715
488;0.087677838;1.062657625;10.01767957;-4.957953908
489;0.087667476;1.062631409;10.01773043;-4.95796067
490;0.087657113;1.062605192;10.01778129;-4.957967435
491;0.08764675;1.062578974;10.01783216;-4.957974202
492;0.087636386;1.062552756;10.01788302;-4.957980972
493;0.087628529;1.062532877;10.01792159;-4.957986107
494;0.087626023;1.062526537;10.01793389;-4.957987741
495;0.08761566;1.062500319;10.01798477;-4.957994498
496;0.087605297;1.062474101;10.01803564;-4.958001258
497;0.087594934;1.062447882;10.01808652;-4.958008021
498;0.087584571;1.062421663;10.0181374;-4.958014787
499;0.087574207;1.062395442;10.01818828;-4.958021556
500;0.087563843;1.062369221;10.01823916;-4.958028328
501;0.087553479;1.062342999;10.01829004;-4.958035102
502;0.087543115;1.062316776;10.01834093;-4.95804188
503;0.087542816;1.062316018;10.0183424;-4.958042075
504;0.087532752;1.062290555;10.01839182;-4.958048642
505;0.087522388;1.062264334;10.01844271;-4.958055406
506;0.087512024;1.062238111;10.0184936;-4.958062173
507;0.08750166;1.062211888;10.0185445;-4.958068943
508;0.087491296;1.062185664;10.0185954;-4.958075716
509;0.087480932;1.062159439;10.01864629;-4.958082492
510;0.087470567;1.062133214;10.01869719;-4.958089271
511;0.087460202;1.062106988;10.0187481;-4.958096052
512;0.087457108;1.062099159;10.01876329;-4.958098077
513;0.087449838;1.062080762;10.018799;-4.958102824
514;0.087439474;1.062054537;10.01884991;-4.958109592
515;0.087429109;1.062028311;10.01890082;-4.958116364
516;0.087418745;1.062002085;10.01895174;-4.958123138
