¹ point;t;r;R;L
3302;10.6910881497012;10.9491361567998;27.7831550686118;-5
3303;10.6910684117525;10.9489113104267;27.7621231571291;-5
3304;10.6910485707117;10.9486854983189;27.7410912456465;-5
3305;10.6910325334223;10.9485031455882;27.7241733557499;-5
3306;10.6910286361;10.948458863875;27.7200593341638;-5
3307;10.6910085871537;10.9482311072496;27.6990274226811;-5
3308;10.6909884333476;10.9480023713518;27.6779955111984;-5
3309;10.6909681740872;10.947772651643;27.6569635997158;-5
3310;10.690947808772;10.9475419435411;27.6359316882331;-5
3311;10.690927336799;10.9473102424496;27.6148997767504;-5
3312;10.6909067575603;10.9470775437386;27.5938678652678;-5
3313;10.6908860704444;10.946843842757;27.5728359537851;-5
3314;10.6908652748385;10.9466091348569;27.5518040423024;-5
3315;10.6908443701227;10.9463734153303;27.5307721308198;-5
3316;10.6908408528254;10.9463337916179;27.527246201875;-5
3317;10.6908233651875;10.9461368174554;27.5097402193371;-5
3318;10.6908022404181;10.9458990609201;27.4887083078544;-5
3319;10.6907810046598;10.9456602785326;27.4676763963718;-5
3320;10.6907596572775;10.9454204654944;27.4466444848891;-5
3321;10.6907381976327;10.9451796169855;27.4256125734064;-5
3322;10.6907166250854;10.9449377281916;27.4045806619237;-5
3323;10.6906949389882;10.9446947942351;27.3835487504411;-5
3324;10.6906731386913;10.9444508102308;27.3625168389584;-5
3325;10.6906512235391;10.9442057712505;27.3414849274757;-5
3326;10.6906457141692;10.944144227498;27.3362175967239;-5
3327;10.6906292063698;10.9439598665984;27.3204530159931;-5
3328;10.6906070595806;10.943712703414;27.2994211045104;-5
3329;10.6905847959495;10.9434644703722;27.2783891930277;-5
3330;10.6905624148065;10.9432151624641;27.2573572815451;-5
3331;10.6905399154737;10.9429647746204;27.2363253700624;-5
3332;10.6905172972736;10.9427133017914;27.2152934585797;-5
3333;10.6904945595217;10.9424607388759;27.194261547097;-5
3334;10.6904717015295;10.9422070807473;27.1732296356144;-5
3335;10.6904487226056;10.9419523222691;27.1521977241317;-5
3336;10.6904471401087;10.9419347943773;27.1507542934976;-5
3337;10.6904256269006;10.9416965274841;27.131165812649;-5
3338;10.6904024040371;10.9414395529622;27.1101339011664;-5
3339;10.690379058138;10.9411814624852;27.0891019896837;-5
3340;10.6903555884925;10.9409222507883;27.068070078201;-5
3341;10.6903319943873;10.9406619126055;27.0470381667184;-5
3342;10.690308275103;10.9404004426218;27.0260062552357;-5
3343;10.6902844299162;10.9401378355054;27.004974343753;-5
3344;10.6902604580982;10.9398740858854;26.9839424322704;-5
3345;10.6902451543706;10.9397058677521;26.9705768684244;-5
3346;10.6902363773273;10.9396094493996;26.9629105207877;-5
3347;10.690212150117;10.9393433993736;26.941878609305;-5
3348;10.6901877940636;10.9390761905902;26.9208466978223;-5
3349;10.6901633084203;10.938807817573;26.8998147863397;-5
3350;10.6901386924361;10.9385382748256;26.878782874857;-5
3351;10.6901139453531;10.9382675567979;26.8577509633743;-5
3352;10.6900890664114;10.9379956579425;26.8367190518917;-5
3353;10.690064054844;10.9377225726574;26.815687140409;-5
3354;10.6900397702094;10.937457679662;26.7953734482424;-5
3355;10.6900389126298;10.9374483340277;26.7946552289263;-5
3356;10.6900136335059;10.9371728591328;26.7736233174437;-5
3357;10.6899882194296;10.9368961808708;26.752591405961;-5
3358;10.6899626696147;10.936618293529;26.7315594944783;-5
3359;10.6899369832706;10.9363391913712;26.7105275829956;-5
3360;10.6899111596015;10.9360588686312;26.689495671513;-5
3361;10.6898851978073;10.9357773195198;26.6684637600303;-5
3362;10.6898590970808;10.9354945381968;26.6474318485476;-5
3363;10.689832856611;10.9352105188056;26.626399937065;-5
3364;10.6898310225469;10.9351906867043;26.6249350282123;-5
3365;10.6898064812882;10.934925335141;26.6053680255823;-5
3366;10.689779958901;10.9346388221735;26.5843361140996;-5
3367;10.6897532943048;10.9343510533702;26.563304202617;-5
3368;10.6897264866708;10.9340620227866;26.5422722911343;-5
3369;10.6896995351571;10.9337717243625;26.5212403796516;-5
3370;10.6896724389248;10.9334801520983;26.500208468169;-5
3371;10.6896451971213;10.9331872998718;26.4791765566863;-5
3372;10.6896189187166;10.9329050806244;26.4589952522751;-5
3373;10.6896178124573;10.9328932110173;26.4581446452036;-5
3374;10.6895902769652;10.932597780732;26.4371127337209;-5
3375;10.6895625933271;10.9323010520968;26.4160808222383;-5
3376;10.6895347606707;10.9320030188868;26.3950489107556;-5
3377;10.6895067781219;10.9317036748871;26.3740169992729;-5
3378;10.6894786447985;10.9314030138201;26.3529850877903;-5
3379;10.6894503598133;10.9311010293868;26.3319531763076;-5
3380;10.6894219222725;10.9307977152422;26.3109212648249;-5
3381;10.6894034743144;10.930601143751;26.2973409698327;-5
3382;10.689393353315;10.930493368564;26.2898893533423;-5
3383;10.6893646080515;10.9301873768241;26.2688574418596;-5
3384;10.6893357075197;10.9298800361789;26.2478255303769;-5
3385;10.6893066508026;10.9295713401509;26.2267936188942;-5
3386;10.6892774369776;10.9292612822342;26.2057617074116;-5
3387;10.6892480651178;10.9289498559038;26.1847297959289;-5
3388;10.6892185342882;10.9286370545804;26.1636978844462;-5
3389;10.6891888435473;10.9283228716452;26.1426659729636;-5
3390;10.6891847004322;10.9282790733968;26.1397418296489;-5
3391;10.6891590040634;10.928007466095;26.1216340614809;-5
3392;10.6891289907061;10.9276905005198;26.1006021499982;-5
3393;10.6890988145809;10.9273721333143;26.0795702385156;-5
3394;10.6890684747219;10.9270523577198;26.0585383270329;-5
3395;10.6890379701599;10.926731166976;26.0375064155502;-5
3396;10.6890072999148;10.926408554237;26.0164745040675;-5
3397;10.6889764630035;10.9260845126564;25.9954425925849;-5
3398;10.6889626268685;10.9259392647676;25.9860462468517;-5
3399;10.6889454845244;10.9257593897543;25.9744106811022;-5
3400;10.6889143114103;10.9254324709062;25.9533787696196;-5
3401;10.6888829686387;10.9251041024235;25.9323468581369;-5
3402;10.688851455201;10.9247742773191;25.9113149466542;-5
3403;10.6888197700796;10.9244429885425;25.8902830351715;-5
3404;10.6887879122523;10.9241102290277;25.8692511236889;-5
3405;10.688755880688;10.923775991648;25.8482192122062;-5
3406;10.6887372567955;10.9235818541519;25.8360466031191;-5
3407;10.688723701206;10.9234406317042;25.8271873007235;-5
3408;10.6886913191634;10.9231034182713;25.8061553892409;-5
3409;10.6886587602534;10.9227647054007;25.7851234777582;-5
3410;10.6886260234204;10.9224244858427;25.7640915662755;-5
3411;10.6885931076004;10.9220827522924;25.7430596547929;-5
3412;10.6885600117206;10.9217394973884;25.7220277433102;-5
3413;10.688526734704;10.9213947137578;25.7009958318275;-5
3414;10.6885086148523;10.9212071642706;25.6895952287997;-5
3415;10.6884933040097;10.9210487767023;25.6799639203448;-5
3416;10.6884596615745;10.9207009145295;25.6589320088622;-5
3417;10.6884258347247;10.9203515012336;25.6379000973795;-5
3418;10.6883918223547;10.920000529287;25.6168681858968;-5
3419;10.68835762335;10.9196479911013;25.5958362744142;-5
3420;10.6883232365881;10.9192938790423;25.5748043629315;-5
3421;10.6882886609418;10.9189381854624;25.5537724514488;-5
3422;10.688276716522;10.9188154340191;25.5465366945473;-5
3423;10.6882539223761;10.9185812636422;25.5327405399662;-5
3424;10.6882189656542;10.9182223849919;25.5117086284835;-5
3425;10.6881838166166;10.9178619015827;25.4906767170008;-5
3426;10.688148474103;10.9174998055717;25.4696448055181;-5
3427;10.6881129369464;10.9171360890861;25.4486128940355;-5
3428;10.6880772039742;10.9167707442277;25.4275809825528;-5
3429;10.6880415860969;10.9164069506914;25.4067313818503;-5
3430;10.6880412750721;10.9164037771912;25.4065490710701;-5
3431;10.6880051469151;10.9160351516869;25.3855171595875;-5
3432;10.6879688193719;10.9156648738093;25.3644852481048;-5
3433;10.6879322912353;10.91529293546;25.3434533366221;-5
3434;10.6878955612913;10.9149193285091;25.3224214251395;-5
3435;10.687858628318;10.9145440447853;25.3013895136568;-5
3436;10.687821491086;10.9141670760788;25.2803576021741;-5
3437;10.6878032384537;10.9139819911239;25.2700664895626;-5
3438;10.6877841808752;10.9137888419323;25.2593256906915;-5
3439;10.6877466315359;10.9134084797849;25.2382937792088;-5
3440;10.6877088741983;10.9130264077397;25.2172618677261;-5
3441;10.6876709075981;10.9126426173903;25.1962299562434;-5
3442;10.6876327304635;10.9122571002963;25.1751980447608;-5
3443;10.6875943415167;10.9118698479933;25.1541661332781;-5
3444;10.687561660468;10.9115405183512;25.1363544843499;-5
3445;10.6875557569726;10.9114810809134;25.1331342217954;-5
3446;10.6875169405962;10.9110903332545;25.1121023103128;-5
3447;10.68747790851;10.9106978245999;25.0910703988301;-5
3448;10.6874386594048;10.910303546332;25.0700384873474;-5
3449;10.6873991919541;10.909907489704;25.0490065758648;-5
3450;10.6873595048263;10.909509645961;25.0279746643821;-5
3451;10.6873195966787;10.9091100062767;25.0069427528994;-5
3452;10.6873168963527;10.9090829936428;25.0055247563924;-5
3453;10.6872794750404;10.9087086771477;24.9859108414168;-5
3454;10.6872391208321;10.9083054193434;24.9648789299341;-5
